Back,,,,Chrome,Firefox,IE,,,,,,
ID_146,,"Kiểm tra ""Hiệu lực đến"" là giá trị NGÀY KHÔNG PHẢI TỪ 01-31
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 00/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_147,,"Kiểm tra ""Hiệu lực đến"" là giá trị THÁNG > 12
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/13/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_148,,"Kiểm tra ""Hiệu lực đến"" là giá trị THÁNG < 01
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/00/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_149,,"Kiểm tra ""Hiệu lực đến"" là giá trị NĂM NHUẬN
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 29/02/2024
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_150,,"Kiểm tra ""Hiệu lực đến"" là giá trị KHÔNG PHẢI NĂM NHUẬN
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 29/02/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_151,,"Kiểm tra ""Hiệu lực đến"" là giá trị THÁNG 4 CHỈ CÓ 30 NGÀY
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31/04/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_152,,"Kiểm tra ""Hiệu lực đến"" là giá trị KHÔNG PHẢI SỐ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = abcd
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_153,,"Kiểm tra ""Hiệu lực đến"" là giá trị NĂM KHÔNG ĐỦ 4 KÝ TỰ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 11/11/26
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_154,,"Kiểm tra ""Hiệu lực đến"" là giá trị CÓ KHOẢNG TRẮNG ĐẦU
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = <khoảng trắng>31/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_155,,"Kiểm tra ""Hiệu lực đến"" là giá trị CÓ KHOẢNG TRẮNG GIỮA
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 31<khoảng trắng>/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_156,,"Kiểm tra ""Hiệu lực đến"" là giá trị TẤT CẢ GIÁ ĐỀU KHÔNG HỢP LỆ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 00/00/0000
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_157,,"Kiểm tra ""Hiệu lực đến"" là giá trị KÝ TỰ ĐẶC BIỆT
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = @@/##/$$$$
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_158,,"Kiểm tra ""Hiệu lực đến"" là giá trị THIẾU NGÀY
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = /12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_159,,"Kiểm tra ""Hiệu lực đến"" là giá trị THIẾU THÁNG
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01//2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_160,,"Kiểm tra ""Hiệu lực đến"" là giá trị THIẾU NĂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/12/
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_161,,"Kiểm tra ""Hiệu lực đến"" là giá trị VƯỢT ĐỘ DÀI NĂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 01/12/999999
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_162,,"Kiểm tra ""Hiệu lực đến"" là giá trị ÂM
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 15/08/-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_163,,"Kiểm tra là giá trị <DATETIME>
Group 2 ""Thông tin khách hàng""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_164,,"Kiểm tra là giá trị <DATETIME>
Group 3 ""Thông tin thanh toán"" <Hidden on create>",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_165,,"Kiểm tra là giá trị <DATETIME>
Group 4 ""Thông tin xuất hóa đơn""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_166,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị đúng định dạng dd/MM/yyyy
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31/12/2026
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_167,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị THIẾU SỐ 0 ĐỆM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 1/1/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_168,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị SAI KÝ TỰ PHÂN CÁCH (dùng - thay /)
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31-12-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_169,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị SAI THỨ TỰ (yyyy/MM/dd)
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 12/31/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_170,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị NGÀY KHÔNG TỒN TẠI
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 32/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_171,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị NGÀY KHÔNG PHẢI TỪ 01-31
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 00/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_172,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị THÁNG > 12
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/13/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_173,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị THÁNG < 01
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/00/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_174,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị NĂM NHUẬN
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 29/02/2024
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_175,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị KHÔNG PHẢI NĂM NHUẬN
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 29/02/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_176,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị THÁNG 4 CHỈ CÓ 30 NGÀY
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31/04/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_177,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị KHÔNG PHẢI SỐ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = abcd
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_178,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị NĂM KHÔNG ĐỦ 4 KÝ TỰ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 11/11/26
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_179,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị CÓ KHOẢNG TRẮNG ĐẦU
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = <khoảng trắng>31/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_180,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị CÓ KHOẢNG TRẮNG GIỮA
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31<khoảng trắng>/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_181,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị TẤT CẢ GIÁ ĐỀU KHÔNG HỢP LỆ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 00/00/0000
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_182,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị KÝ TỰ ĐẶC BIỆT
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = @@/##/$$$$
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_183,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị THIẾU NGÀY
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = /12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_184,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị THIẾU THÁNG
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01//2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_185,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị THIẾU NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_186,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị VƯỢT ĐỘ DÀI NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/999999
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_187,,"Kiểm tra ""Giao hàng từ ngày"" là giá trị ÂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 15/08/-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_188,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị đúng định dạng dd/MM/yyyy
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31/12/2026
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_189,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị THIẾU SỐ 0 ĐỆM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 1/1/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_190,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị SAI KÝ TỰ PHÂN CÁCH (dùng - thay /)
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31-12-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_191,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị SAI THỨ TỰ (yyyy/MM/dd)
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 12/31/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_192,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị NGÀY KHÔNG TỒN TẠI
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 32/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_193,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị NGÀY KHÔNG PHẢI TỪ 01-31
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 00/01/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_194,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị THÁNG > 12
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/13/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_195,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị THÁNG < 01
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/00/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_196,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị NĂM NHUẬN
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 29/02/2024
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_197,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị KHÔNG PHẢI NĂM NHUẬN
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 29/02/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_198,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị THÁNG 4 CHỈ CÓ 30 NGÀY
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31/04/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_199,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị KHÔNG PHẢI SỐ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = abcd
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_200,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị NĂM KHÔNG ĐỦ 4 KÝ TỰ
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 11/11/26
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_201,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị CÓ KHOẢNG TRẮNG ĐẦU
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = <khoảng trắng>31/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_202,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị CÓ KHOẢNG TRẮNG GIỮA
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31<khoảng trắng>/12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_203,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị TẤT CẢ GIÁ ĐỀU KHÔNG HỢP LỆ
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = 00/00/0000
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_204,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị KÝ TỰ ĐẶC BIỆT
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = @@/##/$$$$
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_205,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị THIẾU NGÀY
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = /12/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_206,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị THIẾU THÁNG
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01//2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_207,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị THIẾU NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_208,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị VƯỢT ĐỘ DÀI NĂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 01/12/999999
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_209,,"Kiểm tra ""Giao hàng đến ngày"" là giá trị ÂM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 15/08/-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_210,,"Kiểm tra ""Ngày giao hàng"" là giá trị đúng định dạng dd/MM/yyyy
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31/12/2026
- Focus ra ngoài",Field giữ giá trị nhập hợp lệ,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_211,,"Kiểm tra ""Ngày giao hàng"" là giá trị THIẾU SỐ 0 ĐỆM
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 1/1/2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_212,,"Kiểm tra ""Ngày giao hàng"" là giá trị SAI KÝ TỰ PHÂN CÁCH (dùng - thay /)
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị = 31-12-2026
- Focus ra ngoài","Dữ liệu không hợp lệ, focus ra ngoài field default về giá trị trước đó",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
